case_id,feature,original,counterfactual,counterfactual_nextStep,fault_flag
1,rho_0_1_0,0.896366516237975,0.16638575840037162,0.9856705334495757,0
1,rho_0_4_1,0.962107547416835,0.8991456388909179,0.38416878935666665,0
1,rho_1_2_2,0.6415816169415812,0.07627718967053432,0.6310912701988947,0
1,rho_1_3_3,0.5677016892237413,0.10732937059163872,0.41530988636484834,0
1,rho_1_4_4,0.21020516405301037,0.5762213314694918,0.5860829290149763,0
1,rho_2_3_5,1.05448266641071916,1.0503172115321191,1.0222788314719656,1
1,rho_3_4_6,0.9349243883496421,0.830189216134559,0.9353818325428924,0
1,rho_5_10_7,0.7974900988913465,0.5264547105271988,0.897731728369291,0
1,rho_5_11_8,0.0782998610248582,0.1656242356360017,0.2846219601498251,0
1,rho_5_12_9,0.42364936248627316,0.6317797992505968,0.9803916047336069,0
1,rho_8_9_10,0.9868162936829824,0.3765550949423728,0.06451425954556445,0
1,rho_8_13_11,0.05983662207678431,0.5620852509817635,0.7307709788326255,0
1,rho_9_10_12,0.09357374024565035,0.751187748002957,0.365910481155294,0
1,rho_11_12_13,0.7606579236616955,0.5613323309130914,0.5826877869033352,0
1,rho_12_13_14,0.5759464643646108,0.2638875436485135,0.6197147738086297,0
1,rho_3_6_15,0.6525084096856433,0.47380024114184327,0.04467560837041429,0
1,rho_3_8_16,0.014758631129407451,0.055858266191181616,0.36618752882106864,0
1,rho_4_5_17,0.6399180125836615,0.29815735834745305,0.5749424297912864,0
1,rho_6_7_18,0.5665589100855294,0.11949670605746165,0.21425427503030647,0
1,rho_6_8_19,0.9776860433581481,0.305785723701942,0.7435829716088549,0
2,rho_0_1_0,0.6727421351330177,0.7564117433401332,0.5364244193817134,0
2,rho_0_4_1,0.2535958441598629,0.8957615802302256,0.39850498702950166,0
2,rho_1_2_2,1.12497282679329187,1.21555388523244844,1.0867519919727714,1
2,rho_1_3_3,0.47219596217112325,0.6369944678261413,0.9548900001953546,0
2,rho_1_4_4,0.7489157665884932,0.8198423949772206,0.9618315046834739,0
2,rho_2_3_5,0.28703914518318263,0.617695165032152,0.9990315112120531,0
2,rho_3_4_6,0.7019868658043719,0.013519319061763513,0.6550010154398549,0
2,rho_5_10_7,0.4668507671387345,0.868623932349027,0.35505475007160514,0
2,rho_5_11_8,0.7186993787962289,0.6184770709605352,0.9101821203695855,0
2,rho_5_12_9,0.09923329189387242,0.29874285098473874,0.4655066556497759,0
2,rho_8_9_10,0.14392057020058757,0.8461343826375016,0.47400419040364306,0
2,rho_8_13_11,0.7944505102874085,0.28333417403273964,0.9403534627040294,0
2,rho_9_10_12,0.5553857256641465,0.6566255009354571,0.7373926460423306,0
2,rho_11_12_13,0.36636091382407077,0.4946933281339796,0.28258811876681544,0
2,rho_12_13_14,0.6299329044240338,0.5514042032800475,0.9606256321960998,0
2,rho_3_6_15,0.18644679377963347,0.5726807957690924,0.8050872947581434,0
2,rho_3_8_16,0.6196086734032843,0.41495286918869445,0.1807351468614714,0
2,rho_4_5_17,0.0010854660771839608,0.9450918959834892,0.46925504347094626,0
2,rho_6_7_18,0.25242424499853167,0.9095859107673272,0.7490174920023474,0
2,rho_6_8_19,0.8187317240044801,0.9662497642279444,0.02823995746968766,0
3,rho_0_1_0,0.34479025638583316,0.2863788189004982,0.004542600733087876,0
3,rho_0_4_1,1.08367096628688865,1.02449197152280477,0.91392282794859101,1
3,rho_1_2_2,0.5671969682293404,0.8037028751006666,0.49812074094015846,0
3,rho_1_3_3,0.853668385318886,0.35004604406852735,0.7691753493679382,0
3,rho_1_4_4,0.8909794727548399,0.8901114618635744,0.3411038018139768,0
3,rho_2_3_5,0.1951615447727707,0.02980311509828537,0.29103078760480083,0
3,rho_3_4_6,0.6928226854235747,0.031160948249360998,0.37955204277240606,0
3,rho_5_10_7,0.8156804580359901,0.3670924024342248,0.7557268000002964,0
3,rho_5_11_8,0.5893219945694455,0.668995159530269,0.734458509335676,0
3,rho_5_12_9,0.4692310537538448,0.8322166743262414,0.1161122998812727,0
3,rho_8_9_10,0.5337548380118865,0.4878938651541769,0.04655422711174362,0
3,rho_8_13_11,0.06643897519980568,0.827898063721562,0.5715174628347433,0
3,rho_9_10_12,0.4557494539471334,0.9731559205426439,0.3381400013970616,0
3,rho_11_12_13,0.1937067667217991,0.705074146253745,0.6642150131461253,0
3,rho_12_13_14,0.4873562015263089,0.03454120124561777,0.04770603132422835,0
3,rho_3_6_15,0.0731807540298296,0.7874662851258536,0.20311015841520796,0
3,rho_3_8_16,0.9078321448896344,0.938325148562327,0.69184955195178,0
3,rho_4_5_17,0.9771290105779784,0.8870674416264112,0.7434964110104418,0
3,rho_6_7_18,0.46240550116551005,0.49335547440665917,0.26136362153227277,0
3,rho_6_8_19,0.5784848647194739,0.8897350122296932,0.9369826091876405,0
4,rho_0_1_0,0.03360769084337667,0.5327064205116184,0.7426675649514035,0
4,rho_0_4_1,0.534554699050225,0.01746390161519451,0.2163800332021102,0
4,rho_1_2_2,0.05107000200578704,0.6545927038014974,0.3210878577162234,0
4,rho_1_3_3,1.2006796272487145,0.8941411854128471,0.973955670860858351,1
4,rho_1_4_4,0.4800577352226503,0.059613307635712265,0.10941968154022874,0
4,rho_2_3_5,0.80951440723749,0.027001211234713662,0.8126871713549018,0
4,rho_3_4_6,0.9065179482668989,0.9857550528734144,0.883203851733509,0
4,rho_5_10_7,0.7088518784876154,0.6747554131048226,0.7522002103322218,0
4,rho_5_11_8,0.6149376820173026,0.3356495013061861,0.9959206979162294,0
4,rho_5_12_9,0.11712904092159104,0.2769665132300674,0.19743829546712977,0
4,rho_8_9_10,0.47573072216166234,0.05952935098841683,0.29436265600579736,0
4,rho_8_13_11,0.6798036542363181,0.2180979378802761,0.8855750501412281,0
4,rho_9_10_12,0.13421273461187289,0.7516771015303796,0.036466746471751854,0
4,rho_11_12_13,0.4076378474325415,0.6310551216888984,0.8953196649294136,0
4,rho_12_13_14,0.6720372109875108,0.7041963978520072,0.3109195174017967,0
4,rho_3_6_15,0.3222007702210783,0.46006440341707266,0.31240374600056664,0
